,stock_number,stock_id,stock_name,stock_pinyin,stock_abbr
474,600619,sh600619,海立股份,hailigufen,hlgf
475,600620,sh600620,天宸股份,tianchengufen,tcgf
476,600621,sh600621,华鑫股份,huaxingufen,hxgf
477,600622,sh600622,光大嘉宝,guangdajiabao,gdjb
478,600623,sh600623,华谊集团,huayijituan,hyjt
479,600624,sh600624,复旦复华,fudanfuhua,fdfh
480,600626,sh600626,申达股份,shendagufen,sdgf
481,600628,sh600628,新世界,xinshijie,xsj
482,600629,sh600629,华建集团,huajianjituan,hjjt
483,600630,sh600630,龙头股份,longtougufen,ltgf
484,600633,sh600633,浙数文化,zheshuwenhua,zswh
485,600634,sh600634,退市富控,tuishifukong,tsfk
486,600635,sh600635,大众公用,dazhonggongyong,dzgy
487,600636,sh600636,国新文化,guoxinwenhua,gxwh
488,600637,sh600637,东方明珠,dongfangmingzhu,dfmz
489,600638,sh600638,新黄浦,xinhuangpu,xhp
490,600639,sh600639,浦东金桥,pudongjinqiao,pdjq
491,600640,sh600640,新国脉,xinguomai,xgm
492,600641,sh600641,万业企业,wanyeqiye,wyqy
493,600642,sh600642,申能股份,shennenggufen,sngf
494,600643,sh600643,爱建集团,aijianjituan,ajjt
495,600644,sh600644,乐山电力,leshandianli,lsdl
496,600645,sh600645,中源协和,zhongyuanxiehe,zyxh
497,600647,sh600647,同达创业,tongdachuangye,tdcy
498,600648,sh600648,外高桥,waigaoqiao,wgq
499,600649,sh600649,城投控股,chengtoukonggu,ctkg
500,600650,sh600650,锦江在线,jinjiangzaixian,jjzx
501,600651,sh600651,飞乐音响,feiyueyinxiang,fyyx
503,600653,sh600653,申华控股,shenhuakonggu,shkg
505,600655,sh600655,豫园股份,yuyuangufen,yygf
506,600657,sh600657,信达地产,xindadichan,xddc
507,600658,sh600658,电子城,dianzicheng,dzc
508,600660,sh600660,福耀玻璃,fuyaoboli,fybl
509,600661,sh600661,昂立教育,anglijiaoyu,aljy
510,600662,sh600662,强生控股,qiangshengkonggu,qskg
